CLO/1,Centenary Jumper,A really nice momento,315,21.45,1234,10,100
MUG/1,Cenetary Mug,A really mug this time,525,10.25,9876,25,150
STA/1,NUS Pen,A really cute blue pen,768,5.75,125363536,50,250
STA/2,NUS Notepad,Great notepad for the lecturers,1000,3.15,6789,25,75
STA/3,PRINT PAPERS,PAPERS FOR PRINTERS,1000,1.0,1234,500,500
STA/4,ERASER,ERASER,1000,1.0,1233,200,200
MUG/2,REDMUG,RED NICE MIUG,1000,2.0,1235,500,500
MUG/3,BLUEMUG,BLUE NICE MUG,1000,2.0,1236,500,500
DIA/5,NUSDIARY,NUS YEARLY DIARY,10,1.0,1238,500,500
CAL/6,CALCULATOR,SCIENTIFIC CALCULATOR,1,1.0,1239,500,500
